id;settings;time;tree
28;{'mode': 'hyper', 'cost-complexity': 0, 'max-num-nodes': 15, 'max-depth': 4, 'file': 'train/Dialysis_partition_3', 'test-file': 'test/Dialysis_partition_3', 'core-file': 'Dialysis'};13.107;[lambda x: x['fac_center'] > 743.0,[lambda x: x['num_age'] > 42.0,[0.745967],[1.809959]],[lambda x: x['num_age'] > 51.0,[lambda x: x['fac_disease'] == 'diabetes',[lambda x: x['fac_center'] > 1071.0,[0.127967],[0.529765]],[0.886872]],[lambda x: x['fac_center'] > 1071.0,[0.792603],[lambda x: x['num_age'] > 65.0,[1.227675],[2.06668]]]]]
29;{'mode': 'hyper', 'cost-complexity': 0, 'max-num-nodes': 15, 'max-depth': 4, 'file': 'train/Dialysis_partition_4', 'test-file': 'test/Dialysis_partition_4', 'core-file': 'Dialysis'};13.162;[lambda x: x['fac_center'] > 1071.0,[lambda x: x['fac_center'] > 743.0,[lambda x: x['num_age'] > 47.0,[0.882646],[lambda x: x['num_age'] > 70.0,[1.551713],[3.101047]]],[lambda x: x['num_age'] > 51.0,[0.234535],[0.937507]]],[lambda x: x['num_age'] > 60.0,[lambda x: x['fac_disease'] == 'diabetes',[lambda x: x['num_age'] > 42.0,[0.380523],[0.777638]],[1.417215]],[lambda x: x['num_age'] > 65.0,[1.320897],[2.119868]]]]
30;{'mode': 'hyper', 'cost-complexity': 0, 'max-num-nodes': 15, 'max-depth': 4, 'file': 'train/divorce_partition_0', 'test-file': 'test/divorce_partition_0', 'core-file': 'divorce'};0.196;[1.0]
31;{'mode': 'hyper', 'cost-complexity': 0, 'max-num-nodes': 15, 'max-depth': 4, 'file': 'train/divorce_partition_1', 'test-file': 'test/divorce_partition_1', 'core-file': 'divorce'};0.195;[lambda x: x['fac_mixed'] == 'No',[lambda x: x['fac_heduc'] == '<12',[1.477564],[1.035463]],[lambda x: x['fac_heduc'] == '12-15',[0.835648],[1.082253]]]
32;{'mode': 'hyper', 'cost-complexity': 0, 'max-num-nodes': 15, 'max-depth': 4, 'file': 'train/divorce_partition_2', 'test-file': 'test/divorce_partition_2', 'core-file': 'divorce'};0.204;[lambda x: x['fac_mixed'] == 'No',[lambda x: x['fac_heduc'] == '16+',[lambda x: x['fac_heduc'] == '12-15',[0.970802],[1.508113]],[lambda x: x['fac_heblack'] == 'No',[2.535823],[0.285189]]],[lambda x: x['fac_heduc'] == '12-15',[lambda x: x['fac_heduc'] == '16+',[0.899572],[0.809556]],[lambda x: x['fac_heblack'] == 'No',[1.471837],[1.004173]]]]
33;{'mode': 'hyper', 'cost-complexity': 0, 'max-num-nodes': 15, 'max-depth': 4, 'file': 'train/divorce_partition_3', 'test-file': 'test/divorce_partition_3', 'core-file': 'divorce'};0.201;[lambda x: x['fac_mixed'] == 'No',[lambda x: x['fac_heduc'] == '<12',[1.670199],[1.086252]],[lambda x: x['fac_heduc'] == '12-15',[0.798709],[1.090429]]]
34;{'mode': 'hyper', 'cost-complexity': 0, 'max-num-nodes': 15, 'max-depth': 4, 'file': 'train/divorce_partition_4', 'test-file': 'test/divorce_partition_4', 'core-file': 'divorce'};0.198;[lambda x: x['fac_heduc'] == '12-15',[lambda x: x['fac_mixed'] == 'No',[1.068918],[0.831576]],[lambda x: x['fac_heblack'] == 'No',[1.489631],[1.080452]]]
35;{'mode': 'hyper', 'cost-complexity': 0, 'max-num-nodes': 15, 'max-depth': 4, 'file': 'train/flchain_partition_0', 'test-file': 'test/flchain_partition_0', 'core-file': 'flchain'};64.071;[lambda x: x['num_kappa'] > 2.82,[lambda x: x['fac_chapter'] == 'missing',[lambda x: x['num_age'] > 84.0,[lambda x: x['num_sample_yr'] > 1998.0,[5.10117],[7.520452]],[lambda x: x['num_lambda'] > 3.18,[7.430897],[19.424453]]],[0.000392]],[lambda x: x['fac_chapter'] == 'missing',[lambda x: x['num_creatinine'] > 1.1,[lambda x: x['num_lambda'] > 3.18,[7.480565],[16.935193]],[lambda x: x['num_creatinine'] > 1.5,[6.822001],[10.947184]]],[0.026235]]]
36;{'mode': 'hyper', 'cost-complexity': 0, 'max-num-nodes': 15, 'max-depth': 4, 'file': 'train/flchain_partition_1', 'test-file': 'test/flchain_partition_1', 'core-file': 'flchain'};52.98;[lambda x: x['fac_chapter'] == 'missing',[lambda x: x['num_age'] > 84.0,[lambda x: x['num_kappa'] > 2.82,[5.202135],[8.293377]],[lambda x: x['num_flc_grp'] > 9.0,[7.140263],[11.961391]]],[0.000386]]
37;{'mode': 'hyper', 'cost-complexity': 0, 'max-num-nodes': 15, 'max-depth': 4, 'file': 'train/flchain_partition_2', 'test-file': 'test/flchain_partition_2', 'core-file': 'flchain'};57.066;[lambda x: x['fac_chapter'] == 'missing',[lambda x: x['num_age'] > 84.0,[lambda x: x['num_kappa'] > 2.82,[5.182449],[8.453407]],[lambda x: x['num_lambda'] > 3.18,[7.87935],[13.350714]]],[0.000386]]
38;{'mode': 'hyper', 'cost-complexity': 0, 'max-num-nodes': 15, 'max-depth': 4, 'file': 'train/flchain_partition_3', 'test-file': 'test/flchain_partition_3', 'core-file': 'flchain'};64.642;[lambda x: x['fac_chapter'] == 'missing',[lambda x: x['num_kappa'] > 2.82,[lambda x: x['num_age'] > 84.0,[lambda x: x['num_sample_yr'] > 1998.0,[5.088985],[7.325481]],[7.6863]],[lambda x: x['num_lambda'] > 3.18,[7.344207],[lambda x: x['num_creatinine'] > 1.0,[27.739151],[10.10278]]]],[0.000386]]
39;{'mode': 'hyper', 'cost-complexity': 0, 'max-num-nodes': 15, 'max-depth': 4, 'file': 'train/flchain_partition_4', 'test-file': 'test/flchain_partition_4', 'core-file': 'flchain'};86.153;[lambda x: x['fac_chapter'] == 'missing',[lambda x: x['num_kappa'] > 2.82,[lambda x: x['num_age'] > 84.0,[lambda x: x['num_sample_yr'] > 1998.0,[5.040576],[7.519867]],[7.825397]],[9.980637]],[0.000386]]
40;{'mode': 'hyper', 'cost-complexity': 0, 'max-num-nodes': 15, 'max-depth': 4, 'file': 'train/Framingham_partition_0', 'test-file': 'test/Framingham_partition_0', 'core-file': 'Framingham'};55.106;[lambda x: x['num_age'] > 47.0,[lambda x: x['num_dbp'] > 84.0,[lambda x: x['fac_sex'] == 'F',[0.873424],[0.379478]],[lambda x: x['num_scl'] > 219.0,[0.616682],[1.746266]]],[lambda x: x['num_sbp'] > 176.0,[lambda x: x['fac_sex'] == 'F',[2.121185],[1.059695]],[3.336987]]]
41;{'mode': 'hyper', 'cost-complexity': 0, 'max-num-nodes': 15, 'max-depth': 4, 'file': 'train/Framingham_partition_1', 'test-file': 'test/Framingham_partition_1', 'core-file': 'Framingham'};50.984;[lambda x: x['num_age'] > 47.0,[lambda x: x['num_dbp'] > 84.0,[lambda x: x['fac_sex'] == 'F',[0.889077],[0.355067]],[lambda x: x['num_scl'] > 219.0,[0.707868],[1.796492]]],[lambda x: x['fac_sex'] == 'F',[lambda x: x['num_sbp'] > 176.0,[2.032022],[6.627394]],[lambda x: x['num_sbp'] > 144.0,[0.80953],[1.783192]]]]
42;{'mode': 'hyper', 'cost-complexity': 0, 'max-num-nodes': 15, 'max-depth': 4, 'file': 'train/Framingham_partition_2', 'test-file': 'test/Framingham_partition_2', 'core-file': 'Framingham'};51.379;[lambda x: x['num_age'] > 47.0,[lambda x: x['num_dbp'] > 84.0,[lambda x: x['fac_sex'] == 'F',[0.871781],[0.369753]],[lambda x: x['num_scl'] > 219.0,[0.655175],[1.625209]]],[lambda x: x['num_sbp'] > 144.0,[lambda x: x['fac_sex'] == 'F',[1.802261],[0.82962]],[lambda x: x['num_sbp'] > 176.0,[1.862573],[3.723138]]]]
43;{'mode': 'hyper', 'cost-complexity': 0, 'max-num-nodes': 15, 'max-depth': 4, 'file': 'train/Framingham_partition_3', 'test-file': 'test/Framingham_partition_3', 'core-file': 'Framingham'};55.661;[lambda x: x['num_age'] > 44.0,[lambda x: x['num_dbp'] > 84.0,[lambda x: x['fac_sex'] == 'F',[0.791654],[0.337128]],[lambda x: x['num_scl'] > 219.0,[0.560626],[1.419721]]],[lambda x: x['num_sbp'] > 144.0,[lambda x: x['fac_sex'] == 'F',[1.757806],[0.819568]],[lambda x: x['fac_sex'] == 'F',[2.946377],[1.72524]]]]
44;{'mode': 'hyper', 'cost-complexity': 0, 'max-num-nodes': 15, 'max-depth': 4, 'file': 'train/Framingham_partition_4', 'test-file': 'test/Framingham_partition_4', 'core-file': 'Framingham'};64.349;[lambda x: x['num_age'] > 47.0,[lambda x: x['num_dbp'] > 84.0,[lambda x: x['fac_sex'] == 'F',[0.878174],[0.356366]],[lambda x: x['num_scl'] > 219.0,[0.673451],[1.684351]]],[lambda x: x['num_sbp'] > 176.0,[lambda x: x['fac_sex'] == 'F',[1.99715],[1.14381]],[3.649771]]]
45;{'mode': 'hyper', 'cost-complexity': 0, 'max-num-nodes': 15, 'max-depth': 4, 'file': 'train/generated_dataset_00100_1_10_0_partition_0', 'test-file': 'test/generated_dataset_00100_1_10_0_partition_0', 'core-file': 'generated_dataset_00100_1_10_0'};2.84;[1.0]
46;{'mode': 'hyper', 'cost-complexity': 0, 'max-num-nodes': 15, 'max-depth': 4, 'file': 'train/generated_dataset_00100_1_10_0_partition_1', 'test-file': 'test/generated_dataset_00100_1_10_0_partition_1', 'core-file': 'generated_dataset_00100_1_10_0'};2.91;[lambda x: x['F5'] == 'D',[0.884037],[2.905868]]
47;{'mode': 'hyper', 'cost-complexity': 0, 'max-num-nodes': 15, 'max-depth': 4, 'file': 'train/generated_dataset_00100_1_10_0_partition_2', 'test-file': 'test/generated_dataset_00100_1_10_0_partition_2', 'core-file': 'generated_dataset_00100_1_10_0'};3.057;[1.0]
48;{'mode': 'hyper', 'cost-complexity': 0, 'max-num-nodes': 15, 'max-depth': 4, 'file': 'train/generated_dataset_00100_1_10_0_partition_3', 'test-file': 'test/generated_dataset_00100_1_10_0_partition_3', 'core-file': 'generated_dataset_00100_1_10_0'};2.746;[1.0]
49;{'mode': 'hyper', 'cost-complexity': 0, 'max-num-nodes': 15, 'max-depth': 4, 'file': 'train/generated_dataset_00100_1_10_0_partition_4', 'test-file': 'test/generated_dataset_00100_1_10_0_partition_4', 'core-file': 'generated_dataset_00100_1_10_0'};3.894;[lambda x: x['F4'] == 'X',[lambda x: x['F2'] > 0.0789094616686018,[0.235699],[lambda x: x['F0'] > 0.3490748021791155,[lambda x: x['F5'] == 'D',[1.10523],[13.843802]],[lambda x: x['F1'] > 0.24165236976268273,[0.375687],[2.44417]]]],[0.664503]]
50;{'mode': 'hyper', 'cost-complexity': 0, 'max-num-nodes': 15, 'max-depth': 4, 'file': 'train/generated_dataset_00100_1_10_1_partition_0', 'test-file': 'test/generated_dataset_00100_1_10_1_partition_0', 'core-file': 'generated_dataset_00100_1_10_1'};4.34;[lambda x: x['F1'] > 0.609831160650024,[0.760468],[1.543297]]
51;{'mode': 'hyper', 'cost-complexity': 0, 'max-num-nodes': 15, 'max-depth': 4, 'file': 'train/generated_dataset_00100_1_10_1_partition_1', 'test-file': 'test/generated_dataset_00100_1_10_1_partition_1', 'core-file': 'generated_dataset_00100_1_10_1'};4.145;[1.0]
52;{'mode': 'hyper', 'cost-complexity': 0, 'max-num-nodes': 15, 'max-depth': 4, 'file': 'train/generated_dataset_00100_1_10_1_partition_2', 'test-file': 'test/generated_dataset_00100_1_10_1_partition_2', 'core-file': 'generated_dataset_00100_1_10_1'};3.517;[1.0]
