id;settings;time;results 
29;{"mode": "direct", "cost-complexity": 0, "max-num-nodes": 7, "max-depth": 3, "file": "train/Dialysis_partition_4", "test-file": "test/Dialysis_partition_4"};1.20738156636556;[lambda x: x['num_age'] > 55,[lambda x: x['num_age'] > 44,[lambda x: x['fac_disease'] == 'diabetes',[None],[None]],[None]],[lambda x: x['num_age'] > 64,[lambda x: x['fac_disease'] == 'diabetes',[None],[None]],[lambda x: x['num_age'] > 82,[None],[None]]]] 
30;{"mode": "direct", "cost-complexity": 0, "max-num-nodes": 7, "max-depth": 3, "file": "train/divorce_partition_0", "test-file": "test/divorce_partition_0"};3.76451013088226;[lambda x: x['fac_heduc'] == '12-15',[None],[None]] 
31;{"mode": "direct", "cost-complexity": 0, "max-num-nodes": 7, "max-depth": 3, "file": "train/divorce_partition_1", "test-file": "test/divorce_partition_1"};3.91933406591415;[lambda x: x['fac_heduc'] == '12-15',[None],[lambda x: x['fac_heblack'] == 'No',[None],[lambda x: x['fac_mixed'] == 'No',[None],[None]]]] 
32;{"mode": "direct", "cost-complexity": 0, "max-num-nodes": 7, "max-depth": 3, "file": "train/divorce_partition_2", "test-file": "test/divorce_partition_2"};4.67081251939138;[lambda x: x['fac_heduc'] == '12-15',[None],[lambda x: x['fac_heblack'] == 'No',[None],[None]]] 
33;{"mode": "direct", "cost-complexity": 0, "max-num-nodes": 7, "max-depth": 3, "file": "train/divorce_partition_3", "test-file": "test/divorce_partition_3"};3.61388826767604;[lambda x: x['fac_heduc'] == '12-15',[None],[lambda x: x['fac_mixed'] == 'No',[None],[lambda x: x['fac_heblack'] == 'No',[None],[None]]]] 
34;{"mode": "direct", "cost-complexity": 0, "max-num-nodes": 7, "max-depth": 3, "file": "train/divorce_partition_4", "test-file": "test/divorce_partition_4"};4.1607210000356;[lambda x: x['fac_mixed'] == 'No',[lambda x: x['fac_heduc'] == '<12',[None],[None]],[lambda x: x['fac_heduc'] == '12-15',[None],[lambda x: x['fac_heblack'] == 'No',[None],[None]]]] 
35;{"mode": "direct", "cost-complexity": 0, "max-num-nodes": 7, "max-depth": 3, "file": "train/flchain_partition_0", "test-file": "test/flchain_partition_0"};3.75707741975784;[lambda x: x['fac_chapter'] == 'missing',[lambda x: x['num_kappa'] > 2.46,[lambda x: x['num_sample_yr'] > 1997,[None],[None]],[lambda x: x['fac_chapter'] == 'Nervous',[None],[None]]],[lambda x: x['num_sample_yr'] > 1997,[lambda x: x['num_sample_yr'] > 1996,[None],[None]],[lambda x: x['num_sample_yr'] > 1999,[None],[None]]]] 
36;{"mode": "direct", "cost-complexity": 0, "max-num-nodes": 7, "max-depth": 3, "file": "train/flchain_partition_1", "test-file": "test/flchain_partition_1"};3.79015305042267;[lambda x: x['fac_chapter'] == 'missing',[lambda x: x['num_kappa'] > 2.44,[lambda x: x['num_sample_yr'] > 1998,[None],[None]],[lambda x: x['num_age'] > 91,[None],[None]]],[lambda x: x['num_sample_yr'] > 1997,[lambda x: x['num_sample_yr'] > 1996,[None],[None]],[lambda x: x['num_sample_yr'] > 1999,[None],[None]]]] 
37;{"mode": "direct", "cost-complexity": 0, "max-num-nodes": 7, "max-depth": 3, "file": "train/flchain_partition_2", "test-file": "test/flchain_partition_2"};3.86525770028432;[lambda x: x['fac_chapter'] == 'missing',[lambda x: x['num_kappa'] > 2.46,[lambda x: x['num_sample_yr'] > 1998,[None],[None]],[None]],[lambda x: x['num_sample_yr'] > 1997,[lambda x: x['num_sample_yr'] > 1996,[None],[None]],[lambda x: x['num_sample_yr'] > 1999,[None],[None]]]] 
38;{"mode": "direct", "cost-complexity": 0, "max-num-nodes": 7, "max-depth": 3, "file": "train/flchain_partition_3", "test-file": "test/flchain_partition_3"};3.47915143171946;[lambda x: x['fac_chapter'] == 'missing',[lambda x: x['num_kappa'] > 2.46,[lambda x: x['num_sample_yr'] > 1997,[None],[None]],[None]],[lambda x: x['num_sample_yr'] > 1997,[lambda x: x['num_sample_yr'] > 1996,[None],[None]],[lambda x: x['num_sample_yr'] > 1999,[None],[None]]]] 
39;{"mode": "direct", "cost-complexity": 0, "max-num-nodes": 7, "max-depth": 3, "file": "train/flchain_partition_4", "test-file": "test/flchain_partition_4"};3.64718829790751;[lambda x: x['fac_chapter'] == 'missing',[lambda x: x['num_kappa'] > 2.46,[lambda x: x['num_sample_yr'] > 1996,[None],[None]],[lambda x: x['num_lambda'] > 3.8,[None],[None]]],[lambda x: x['num_sample_yr'] > 1997,[lambda x: x['num_sample_yr'] > 1996,[None],[None]],[lambda x: x['num_sample_yr'] > 1999,[None],[None]]]]
40;{"mode": "direct", "cost-complexity": 0, "max-num-nodes": 7, "max-depth": 3, "file": "train/Framingham_partition_0", "test-file": "test/Framingham_partition_0"};2.30707809925079;[lambda x: x['num_age'] > 44,[lambda x: x['num_dbp'] > 89,[lambda x: x['fac_sex'] == 'F',[None],[None]],[lambda x: x['num_scl'] > 217,[None],[None]]],[lambda x: x['num_sbp'] > 166,[lambda x: x['fac_sex'] == 'F',[None],[None]],[None]]] 
