id;settings;time;tree
27;{"hyper-tune": "1", "cost-complexity": 0, "max-num-nodes": 7, "max-depth": 3, "file": "train/Dialysis_partition_2", "test-file": "test/Dialysis_partition_2", "core-file": "Dialysis"};82.296;[lambda x: x['num_age'] < 51.5,[lambda x: x['num_age'] < 64.5,[lambda x: x['fac_center'] < 124.0,[None],[None]],[None]],[lambda x: x['fac_center'] < 1129.5,[lambda x: x['fac_center'] < 1265.5,[None],[None]],[lambda x: x['fac_center'] < 830.4999999999999,[None],[None]]]]
28;{"hyper-tune": "1", "cost-complexity": 0, "max-num-nodes": 7, "max-depth": 3, "file": "train/Dialysis_partition_3", "test-file": "test/Dialysis_partition_3", "core-file": "Dialysis"};72.993;[lambda x: x['fac_center'] < 1129.5,[lambda x: x['num_age'] < 54.5,[lambda x: x['fac_center'] < 1265.5,[None],[None]],[lambda x: x['fac_center'] < 1265.5,[None],[None]]],[lambda x: x['num_age'] < 50.49999999999999,[lambda x: x['fac_center'] < 124.0,[None],[None]],[lambda x: x['fac_center'] < 829.9999999999999,[None],[None]]]]
29;{"hyper-tune": "1", "cost-complexity": 0, "max-num-nodes": 7, "max-depth": 3, "file": "train/Dialysis_partition_4", "test-file": "test/Dialysis_partition_4", "core-file": "Dialysis"};113.7;[lambda x: x['fac_center'] < 1096.5,[lambda x: x['num_age'] < 44.5,[lambda x: x['num_age'] < 64.5,[None],[None]],[lambda x: x['fac_disease'] in ['diabetes'],[None],[None]]],[lambda x: x['fac_center'] < 829.9999999999999,[lambda x: x['num_age'] < 50.49999999999999,[None],[None]],[lambda x: x['num_age'] < 72.5,[None],[None]]]]
30;{"hyper-tune": "1", "cost-complexity": 0, "max-num-nodes": 7, "max-depth": 3, "file": "train/divorce_partition_0", "test-file": "test/divorce_partition_0", "core-file": "divorce"};68.676;[lambda x: x['fac_heblack'] in ['Yes'],[lambda x: x['fac_heduc'] in ['12-15'],[None],[None]],[lambda x: x['fac_heduc'] in ['12-15','16+'],[None],[None]]]
31;{"hyper-tune": "1", "cost-complexity": 0, "max-num-nodes": 7, "max-depth": 3, "file": "train/divorce_partition_1", "test-file": "test/divorce_partition_1", "core-file": "divorce"};48.856;[lambda x: x['fac_mixed'] in ['Yes'],[lambda x: x['fac_heduc'] in ['12-15'],[None],[lambda x: x['fac_heblack'] in ['Yes'],[None],[None]]],[lambda x: x['fac_heduc'] in ['12-15','<12'],[None],[lambda x: x['fac_heduc'] in ['12-15'],[None],[None]]]]
32;{"hyper-tune": "1", "cost-complexity": 0, "max-num-nodes": 7, "max-depth": 3, "file": "train/divorce_partition_2", "test-file": "test/divorce_partition_2", "core-file": "divorce"};73.557;[lambda x: x['fac_heduc'] in ['12-15'],[None],[lambda x: x['fac_heblack'] in ['Yes'],[None],[None]]]
33;{"hyper-tune": "1", "cost-complexity": 0, "max-num-nodes": 7, "max-depth": 3, "file": "train/divorce_partition_3", "test-file": "test/divorce_partition_3", "core-file": "divorce"};92.664;[lambda x: x['fac_mixed'] in ['Yes'],[lambda x: x['fac_heduc'] in ['12-15'],[None],[None]],[lambda x: x['fac_heduc'] in ['12-15','16+'],[None],[None]]]
34;{"hyper-tune": "1", "cost-complexity": 0, "max-num-nodes": 7, "max-depth": 3, "file": "train/divorce_partition_4", "test-file": "test/divorce_partition_4", "core-file": "divorce"};42.394;[lambda x: x['fac_heduc'] in ['16+','<12'],[lambda x: x['fac_heblack'] in ['Yes'],[None],[None]],[lambda x: x['fac_mixed'] in ['Yes'],[None],[None]]]
35;{"hyper-tune": "1", "cost-complexity": 0, "max-num-nodes": 7, "max-depth": 3, "file": "train/flchain_partition_0", "test-file": "test/flchain_partition_0", "core-file": "flchain"};205.041;[lambda x: x['fac_chapter'] in ['missing'],[lambda x: x['fac_chapter'] in ['Injury and Poisoning'],[lambda x: x['num_kappa'] < 2.465,[None],[None]],[None]],[None]]
36;{"hyper-tune": "1", "cost-complexity": 0, "max-num-nodes": 7, "max-depth": 3, "file": "train/flchain_partition_1", "test-file": "test/flchain_partition_1", "core-file": "flchain"};186.425;[lambda x: x['fac_chapter'] in ['missing'],[lambda x: x['num_age'] < 90.5,[None],[lambda x: x['num_kappa'] < 2.4450000000000003,[None],[None]]],[None]]
37;{"hyper-tune": "1", "cost-complexity": 0, "max-num-nodes": 7, "max-depth": 3, "file": "train/flchain_partition_2", "test-file": "test/flchain_partition_2", "core-file": "flchain"};145.09;[lambda x: x['fac_chapter'] in ['missing','Injury and Poisoning'],[lambda x: x['num_age'] < 89.5,[None],[lambda x: x['num_kappa'] < 2.4650000000000003,[None],[None]]],[lambda x: x['fac_chapter'] in ['Congenital','Digestive','Circulatory','Genitourinary','Ill Defined','Neoplasms','Nervous','Musculoskeletal','External Causes','Injury and Poisoning','Infectious','Mental','Skin','Blood','Respiratory','Endocrine'],[None],[None]]]
38;{"hyper-tune": "1", "cost-complexity": 0, "max-num-nodes": 7, "max-depth": 3, "file": "train/flchain_partition_3", "test-file": "test/flchain_partition_3", "core-file": "flchain"};201.711;[lambda x: x['fac_chapter'] in ['missing'],[lambda x: x['num_kappa'] < 2.465,[None],[None]],[None]]
39;{"hyper-tune": "1", "cost-complexity": 0, "max-num-nodes": 7, "max-depth": 3, "file": "train/flchain_partition_4", "test-file": "test/flchain_partition_4", "core-file": "flchain"};267.157;[lambda x: x['fac_chapter'] in ['Ill Defined','Nervous','Musculoskeletal','missing','Infectious','Skin'],[lambda x: x['num_kappa'] < 2.5700000000000003,[lambda x: x['num_kappa'] < 4.455,[None],[None]],[lambda x: x['num_age'] < 84.5,[None],[None]]],[lambda x: x['fac_chapter'] in ['Congenital','Digestive','Circulatory','Genitourinary','Ill Defined','Neoplasms','Nervous','Musculoskeletal','External Causes','Injury and Poisoning','Infectious','Mental','Skin','Blood','Respiratory','Endocrine'],[None],[None]]]
40;{"hyper-tune": "1", "cost-complexity": 0, "max-num-nodes": 7, "max-depth": 3, "file": "train/Framingham_partition_0", "test-file": "test/Framingham_partition_0", "core-file": "Framingham"};218.782;[lambda x: x['num_age'] < 47.5,[lambda x: x['num_sbp'] < 166.5,[None],[lambda x: x['fac_sex'] in ['M'],[None],[None]]],[lambda x: x['num_dbp'] < 84.5,[lambda x: x['num_scl'] < 223.5,[None],[None]],[lambda x: x['fac_sex'] in ['M'],[None],[None]]]]
41;{"hyper-tune": "1", "cost-complexity": 0, "max-num-nodes": 7, "max-depth": 3, "file": "train/Framingham_partition_1", "test-file": "test/Framingham_partition_1", "core-file": "Framingham"};221.324;[lambda x: x['num_age'] < 47.5,[lambda x: x['fac_sex'] in ['M'],[lambda x: x['num_sbp'] < 145.5,[None],[None]],[lambda x: x['num_sbp'] < 182.0,[None],[None]]],[lambda x: x['num_dbp'] < 84.5,[lambda x: x['num_scl'] < 219.5,[None],[None]],[lambda x: x['fac_sex'] in ['M'],[None],[None]]]]
