id;settings;time;tree
24;{'hyper-tune': '1', 'cost-complexity': 0, 'max-num-nodes': 7, 'max-depth': 3, 'file': 'train/dataDIVAT3_partition_4', 'test-file': 'test/dataDIVAT3_partition_4', 'core-file': 'dataDIVAT3'};0.567;[lambda x: x['num_ageR'] > 60.0,[lambda x: x['fac_ante_diab'] == 'No',[1.380641],[lambda x: x['num_ageR'] > 39.0,[0.198941],[0.766139]]],[2.157592]]
25;{'hyper-tune': '1', 'cost-complexity': 0, 'max-num-nodes': 7, 'max-depth': 3, 'file': 'train/Dialysis_partition_0', 'test-file': 'test/Dialysis_partition_0', 'core-file': 'Dialysis'};0.925;[lambda x: x['fac_center'] > 1071.0,[lambda x: x['fac_center'] > 743.0,[lambda x: x['num_age'] > 55.0,[1.052069],[2.194358]],[lambda x: x['num_age'] > 51.0,[0.244838],[0.910539]]],[lambda x: x['num_age'] > 55.0,[lambda x: x['num_age'] > 42.0,[0.453346],[0.809075]],[lambda x: x['num_age'] > 70.0,[1.394846],[2.331113]]]]
26;{'hyper-tune': '1', 'cost-complexity': 0, 'max-num-nodes': 7, 'max-depth': 3, 'file': 'train/Dialysis_partition_1', 'test-file': 'test/Dialysis_partition_1', 'core-file': 'Dialysis'};0.941;[lambda x: x['fac_center'] > 1071.0,[lambda x: x['fac_center'] > 743.0,[lambda x: x['num_age'] > 47.0,[0.869054],[1.912351]],[lambda x: x['num_age'] > 55.0,[0.287578],[1.011471]]],[lambda x: x['num_age'] > 51.0,[lambda x: x['fac_disease'] == 'diabetes',[0.504225],[1.176065]],[lambda x: x['num_age'] > 65.0,[1.138186],[2.142521]]]]
27;{'hyper-tune': '1', 'cost-complexity': 0, 'max-num-nodes': 7, 'max-depth': 3, 'file': 'train/Dialysis_partition_2', 'test-file': 'test/Dialysis_partition_2', 'core-file': 'Dialysis'};0.94;[lambda x: x['fac_center'] > 1071.0,[lambda x: x['fac_center'] > 743.0,[lambda x: x['num_age'] > 55.0,[0.986524],[2.064386]],[lambda x: x['num_age'] > 51.0,[0.260318],[0.915708]]],[lambda x: x['num_age'] > 51.0,[lambda x: x['fac_disease'] == 'diabetes',[0.494143],[1.059547]],[lambda x: x['num_age'] > 70.0,[1.326836],[2.451202]]]]
28;{'hyper-tune': '1', 'cost-complexity': 0, 'max-num-nodes': 7, 'max-depth': 3, 'file': 'train/Dialysis_partition_3', 'test-file': 'test/Dialysis_partition_3', 'core-file': 'Dialysis'};0.919;[lambda x: x['fac_center'] > 1071.0,[lambda x: x['fac_center'] > 743.0,[lambda x: x['num_age'] > 42.0,[0.745967],[1.809959]],[lambda x: x['num_age'] > 51.0,[0.180832],[0.792603]]],[lambda x: x['num_age'] > 51.0,[0.580311],[lambda x: x['num_age'] > 65.0,[1.227675],[2.06668]]]]
29;{'hyper-tune': '1', 'cost-complexity': 0, 'max-num-nodes': 7, 'max-depth': 3, 'file': 'train/Dialysis_partition_4', 'test-file': 'test/Dialysis_partition_4', 'core-file': 'Dialysis'};0.924;[lambda x: x['fac_center'] > 1071.0,[lambda x: x['fac_center'] > 743.0,[lambda x: x['num_age'] > 55.0,[1.018028],[2.080602]],[lambda x: x['num_age'] > 51.0,[0.234535],[0.937507]]],[lambda x: x['num_age'] > 51.0,[lambda x: x['fac_disease'] == 'diabetes',[0.491522],[1.202884]],[lambda x: x['num_age'] > 65.0,[1.158953],[2.119868]]]]
30;{'hyper-tune': '1', 'cost-complexity': 0, 'max-num-nodes': 7, 'max-depth': 3, 'file': 'train/divorce_partition_0', 'test-file': 'test/divorce_partition_0', 'core-file': 'divorce'};0.208;[lambda x: x['fac_heblack'] == 'No',[lambda x: x['fac_heduc'] == '<12',[1.548604],[1.102463]],[lambda x: x['fac_heduc'] == '12-15',[0.817505],[lambda x: x['fac_mixed'] == 'No',[1.412433],[1.024995]]]]
31;{'hyper-tune': '1', 'cost-complexity': 0, 'max-num-nodes': 7, 'max-depth': 3, 'file': 'train/divorce_partition_1', 'test-file': 'test/divorce_partition_1', 'core-file': 'divorce'};0.204;[lambda x: x['fac_heduc'] == '12-15',[lambda x: x['fac_mixed'] == 'No',[lambda x: x['fac_heduc'] == '16+',[1.035463],[2.532524]],[0.835648]],[lambda x: x['fac_mixed'] == 'No',[1.41062],[lambda x: x['fac_heblack'] == 'No',[1.471601],[1.032662]]]]
32;{'hyper-tune': '1', 'cost-complexity': 0, 'max-num-nodes': 7, 'max-depth': 3, 'file': 'train/divorce_partition_2', 'test-file': 'test/divorce_partition_2', 'core-file': 'divorce'};0.208;[lambda x: x['fac_mixed'] == 'No',[lambda x: x['fac_heduc'] == '16+',[lambda x: x['fac_heduc'] == '12-15',[0.970802],[1.508113]],[lambda x: x['fac_heblack'] == 'No',[2.535823],[0.285189]]],[lambda x: x['fac_heduc'] == '12-15',[0.872585],[lambda x: x['fac_heblack'] == 'No',[1.471837],[1.004173]]]]
33;{'hyper-tune': '1', 'cost-complexity': 0, 'max-num-nodes': 7, 'max-depth': 3, 'file': 'train/divorce_partition_3', 'test-file': 'test/divorce_partition_3', 'core-file': 'divorce'};0.208;[lambda x: x['fac_mixed'] == 'No',[lambda x: x['fac_heduc'] == '<12',[1.670199],[1.086252]],[lambda x: x['fac_heduc'] == '12-15',[0.798709],[1.090429]]]
34;{'hyper-tune': '1', 'cost-complexity': 0, 'max-num-nodes': 7, 'max-depth': 3, 'file': 'train/divorce_partition_4', 'test-file': 'test/divorce_partition_4', 'core-file': 'divorce'};0.209;[lambda x: x['fac_heduc'] == '12-15',[lambda x: x['fac_mixed'] == 'No',[1.068918],[0.831576]],[lambda x: x['fac_heblack'] == 'No',[1.489631],[lambda x: x['fac_mixed'] == 'No',[1.405843],[1.041804]]]]
35;{'hyper-tune': '1', 'cost-complexity': 0, 'max-num-nodes': 7, 'max-depth': 3, 'file': 'train/flchain_partition_0', 'test-file': 'test/flchain_partition_0', 'core-file': 'flchain'};2.436;[lambda x: x['fac_chapter'] == 'missing',[lambda x: x['num_kappa'] > 2.82,[lambda x: x['num_age'] > 84.0,[5.224589],[7.780271]],[9.246947]],[0.000386]]
36;{'hyper-tune': '1', 'cost-complexity': 0, 'max-num-nodes': 7, 'max-depth': 3, 'file': 'train/flchain_partition_1', 'test-file': 'test/flchain_partition_1', 'core-file': 'flchain'};3.176;[lambda x: x['fac_chapter'] == 'missing',[lambda x: x['num_age'] > 84.0,[lambda x: x['num_kappa'] > 2.82,[5.202135],[8.293377]],[lambda x: x['num_flc_grp'] > 9.0,[7.140263],[11.961391]]],[0.000386]]
37;{'hyper-tune': '1', 'cost-complexity': 0, 'max-num-nodes': 7, 'max-depth': 3, 'file': 'train/flchain_partition_2', 'test-file': 'test/flchain_partition_2', 'core-file': 'flchain'};3.158;[lambda x: x['fac_chapter'] == 'missing',[lambda x: x['num_kappa'] > 2.82,[lambda x: x['num_age'] > 84.0,[5.182449],[7.99067]],[9.172001]],[0.000386]]
38;{'hyper-tune': '1', 'cost-complexity': 0, 'max-num-nodes': 7, 'max-depth': 3, 'file': 'train/flchain_partition_3', 'test-file': 'test/flchain_partition_3', 'core-file': 'flchain'};3.339;[lambda x: x['fac_chapter'] == 'missing',[lambda x: x['num_kappa'] > 2.82,[lambda x: x['num_age'] > 84.0,[5.210335],[7.6863]],[9.548292]],[0.000386]]
39;{'hyper-tune': '1', 'cost-complexity': 0, 'max-num-nodes': 7, 'max-depth': 3, 'file': 'train/flchain_partition_4', 'test-file': 'test/flchain_partition_4', 'core-file': 'flchain'};2.642;[lambda x: x['fac_chapter'] == 'missing',[lambda x: x['num_kappa'] > 2.82,[lambda x: x['num_age'] > 84.0,[5.158004],[7.825397]],[9.980637]],[0.000386]]
40;{'hyper-tune': '1', 'cost-complexity': 0, 'max-num-nodes': 7, 'max-depth': 3, 'file': 'train/Framingham_partition_0', 'test-file': 'test/Framingham_partition_0', 'core-file': 'Framingham'};1.961;[lambda x: x['num_age'] > 47.0,[lambda x: x['num_dbp'] > 84.0,[lambda x: x['fac_sex'] == 'F',[0.873424],[0.379478]],[lambda x: x['num_scl'] > 219.0,[0.616682],[1.746266]]],[lambda x: x['num_sbp'] > 176.0,[lambda x: x['fac_sex'] == 'F',[2.121185],[1.059695]],[3.336987]]]
41;{'hyper-tune': '1', 'cost-complexity': 0, 'max-num-nodes': 7, 'max-depth': 3, 'file': 'train/Framingham_partition_1', 'test-file': 'test/Framingham_partition_1', 'core-file': 'Framingham'};1.96;[lambda x: x['num_age'] > 47.0,[lambda x: x['num_dbp'] > 84.0,[lambda x: x['fac_sex'] == 'F',[0.889077],[0.355067]],[lambda x: x['num_scl'] > 219.0,[0.707868],[1.796492]]],[lambda x: x['fac_sex'] == 'F',[lambda x: x['num_sbp'] > 176.0,[2.032022],[6.627394]],[lambda x: x['num_sbp'] > 144.0,[0.80953],[1.783192]]]]
42;{'hyper-tune': '1', 'cost-complexity': 0, 'max-num-nodes': 7, 'max-depth': 3, 'file': 'train/Framingham_partition_2', 'test-file': 'test/Framingham_partition_2', 'core-file': 'Framingham'};2.002;[lambda x: x['num_age'] > 47.0,[lambda x: x['num_dbp'] > 84.0,[lambda x: x['fac_sex'] == 'F',[0.871781],[0.369753]],[lambda x: x['num_scl'] > 219.0,[0.655175],[1.625209]]],[lambda x: x['num_sbp'] > 176.0,[lambda x: x['fac_sex'] == 'F',[1.994793],[1.082891]],[3.723138]]]
43;{'hyper-tune': '1', 'cost-complexity': 0, 'max-num-nodes': 7, 'max-depth': 3, 'file': 'train/Framingham_partition_3', 'test-file': 'test/Framingham_partition_3', 'core-file': 'Framingham'};1.938;[lambda x: x['num_age'] > 47.0,[lambda x: x['num_dbp'] > 84.0,[lambda x: x['fac_sex'] == 'F',[0.838989],[0.366476]],[lambda x: x['num_scl'] > 219.0,[0.669854],[1.619106]]],[lambda x: x['num_sbp'] > 176.0,[lambda x: x['fac_sex'] == 'F',[2.06215],[1.122064]],[3.367139]]]
