id;settings;time;tree
22;{"mode": "direct", "cost-complexity": 0, "max-num-nodes": 7, "max-depth": 3, "file": "train/dataDIVAT3_partition_2", "test-file": "test/dataDIVAT3_partition_2"};4.075;[lambda x: x['num_year_tx'] < 2004.5,[lambda x: x['num_ageR'] < 50.5,[lambda x: x['num_ageR'] < 71.5,[None],[None]],[lambda x: x['num_ageD'] < 37.5,[None],[None]]],[lambda x: x['num_ageR'] < 65.5,[lambda x: x['num_ageD'] < 68.5,[None],[None]],[lambda x: x['fac_ante_diab'] in ['Yes'],[None],[None]]]]
23;{"mode": "direct", "cost-complexity": 0, "max-num-nodes": 7, "max-depth": 3, "file": "train/dataDIVAT3_partition_3", "test-file": "test/dataDIVAT3_partition_3"};3.614;[lambda x: x['num_ageD'] < 58.5,[lambda x: x['num_ageR'] < 71.5,[lambda x: x['fac_year_tx'] < 2002.5,[None],[None]],[lambda x: x['num_ageR'] < 44.5,[None],[None]]],[lambda x: x['num_ageR'] < 54.5,[lambda x: x['num_ageR'] < 65.5,[None],[None]],[lambda x: x['fac_ante_diab'] in ['Yes'],[None],[None]]]]
24;{"mode": "direct", "cost-complexity": 0, "max-num-nodes": 7, "max-depth": 3, "file": "train/dataDIVAT3_partition_4", "test-file": "test/dataDIVAT3_partition_4"};3.513;[lambda x: x['fac_ante_diab'] in ['No'],[lambda x: x['fac_pra'] in ['Undetectable'],[lambda x: x['num_ageR'] < 67.5,[None],[None]],[lambda x: x['num_ageR'] < 45.5,[None],[None]]],[lambda x: x['num_ageR'] < 54.5,[lambda x: x['num_ageR'] < 65.5,[None],[None]],[lambda x: x['num_ageR'] < 38.5,[None],[None]]]]
25;{"mode": "direct", "cost-complexity": 0, "max-num-nodes": 7, "max-depth": 3, "file": "train/Dialysis_partition_0", "test-file": "test/Dialysis_partition_0"};3.949;[lambda x: x['fac_center'] < 829.9999999999999,[lambda x: x['fac_center'] < 1096.5,[lambda x: x['num_age'] < 55.5,[None],[None]],[lambda x: x['num_age'] < 50.49999999999999,[None],[None]]],[lambda x: x['fac_center'] < 561.5,[lambda x: x['num_age'] < 42.5,[None],[None]],[lambda x: x['fac_center'] < 124.0,[None],[None]]]]
26;{"mode": "direct", "cost-complexity": 0, "max-num-nodes": 7, "max-depth": 3, "file": "train/Dialysis_partition_1", "test-file": "test/Dialysis_partition_1"};5.557;[lambda x: x['num_age'] < 52.5,[lambda x: x['num_age'] < 64.5,[lambda x: x['fac_center'] < 124.0,[None],[None]],[lambda x: x['fac_center'] < 829.9999999999999,[None],[None]]],[lambda x: x['fac_center'] < 1129.5,[lambda x: x['fac_center'] < 1265.5,[None],[None]],[lambda x: x['fac_center'] < 829.9999999999999,[None],[None]]]]
27;{"mode": "direct", "cost-complexity": 0, "max-num-nodes": 7, "max-depth": 3, "file": "train/Dialysis_partition_2", "test-file": "test/Dialysis_partition_2"};4.138;[lambda x: x['fac_center'] < 1265.5,[lambda x: x['fac_disease'] in ['renal','other','congen','hypert'],[lambda x: x['fac_center'] < 3330.0,[None],[None]],[lambda x: x['num_age'] < 58.5,[None],[None]]],[lambda x: x['fac_center'] < 1006.4999999999999,[lambda x: x['fac_center'] < 1129.5,[None],[None]],[lambda x: x['num_age'] < 47.5,[None],[None]]]]
28;{"mode": "direct", "cost-complexity": 0, "max-num-nodes": 7, "max-depth": 3, "file": "train/Dialysis_partition_3", "test-file": "test/Dialysis_partition_3"};5.921;[lambda x: x['num_age'] < 51.5,[lambda x: x['fac_center'] < 124.0,[lambda x: x['num_age'] < 64.5,[None],[None]],[lambda x: x['num_age'] < 66.0,[None],[None]]],[lambda x: x['fac_center'] < 1129.5,[lambda x: x['fac_center'] < 1265.5,[None],[None]],[lambda x: x['fac_center'] < 829.9999999999999,[None],[None]]]]
29;{"mode": "direct", "cost-complexity": 0, "max-num-nodes": 7, "max-depth": 3, "file": "train/Dialysis_partition_4", "test-file": "test/Dialysis_partition_4"};4.088;[lambda x: x['fac_center'] < 1096.5,[lambda x: x['num_age'] < 64.5,[lambda x: x['num_age'] < 82.5,[None],[None]],[lambda x: x['num_age'] < 44.5,[None],[None]]],[lambda x: x['fac_center'] < 829.9999999999999,[lambda x: x['num_age'] < 50.49999999999999,[None],[None]],[lambda x: x['num_age'] < 48.5,[None],[None]]]]
30;{"mode": "direct", "cost-complexity": 0, "max-num-nodes": 7, "max-depth": 3, "file": "train/divorce_partition_0", "test-file": "test/divorce_partition_0"};1.647;[lambda x: x['fac_mixed'] in ['Yes'],[lambda x: x['fac_heduc'] in ['12-15'],[lambda x: x['fac_heduc'] in ['12-15','16+'],[None],[None]],[lambda x: x['fac_heblack'] in ['Yes'],[None],[None]]],[lambda x: x['fac_heblack'] in ['Yes'],[lambda x: x['fac_heduc'] in ['12-15'],[None],[None]],[lambda x: x['fac_heduc'] in ['12-15','<12'],[None],[None]]]]
31;{"mode": "direct", "cost-complexity": 0, "max-num-nodes": 7, "max-depth": 3, "file": "train/divorce_partition_1", "test-file": "test/divorce_partition_1"};1.801;[lambda x: x['fac_heblack'] in ['Yes'],[lambda x: x['fac_heduc'] in ['12-15'],[lambda x: x['fac_heduc'] in ['12-15','16+'],[None],[None]],[lambda x: x['fac_mixed'] in ['Yes'],[None],[None]]],[lambda x: x['fac_heduc'] in ['16+'],[lambda x: x['fac_heduc'] in ['12-15','16+'],[None],[None]],[lambda x: x['fac_mixed'] in ['Yes'],[None],[None]]]]
32;{"mode": "direct", "cost-complexity": 0, "max-num-nodes": 7, "max-depth": 3, "file": "train/divorce_partition_2", "test-file": "test/divorce_partition_2"};1.574;[lambda x: x['fac_heblack'] in ['Yes'],[lambda x: x['fac_heduc'] in ['12-15'],[lambda x: x['fac_heduc'] in ['12-15','16+'],[None],[None]],[lambda x: x['fac_mixed'] in ['Yes'],[None],[None]]],[lambda x: x['fac_mixed'] in ['Yes'],[lambda x: x['fac_heduc'] in ['12-15'],[None],[None]],[lambda x: x['fac_heduc'] in ['12-15','16+'],[None],[None]]]]
33;{"mode": "direct", "cost-complexity": 0, "max-num-nodes": 7, "max-depth": 3, "file": "train/divorce_partition_3", "test-file": "test/divorce_partition_3"};2.008;[lambda x: x['fac_heblack'] in ['Yes'],[lambda x: x['fac_mixed'] in ['Yes'],[lambda x: x['fac_heduc'] in ['12-15'],[None],[None]],[lambda x: x['fac_heduc'] in ['12-15'],[None],[None]]],[lambda x: x['fac_mixed'] in ['Yes'],[lambda x: x['fac_heduc'] in ['12-15','16+'],[None],[None]],[lambda x: x['fac_heduc'] in ['12-15','16+'],[None],[None]]]]
