id;settings;time;tree
21;{'mode': 'direct', 'cost-complexity': 0, 'max-num-nodes': 7, 'max-depth': 3, 'file': 'train/dataDIVAT3_partition_1', 'test-file': 'test/dataDIVAT3_partition_1'};0.034;[lambda x: x['fac_sexeR'] == 'F',[lambda x: x['num_ageR'] > 56.0,[lambda x: x['num_ageR'] > 44.0,[0.284345],[0.912854]],[lambda x: x['num_ageR'] > 70.0,[1.938148],[4.435]]],[lambda x: x['num_ageR'] > 60.0,[lambda x: x['fac_pra'] == 'Detectable',[0.303974],[0.849067]],[lambda x: x['fac_pra'] == 'Detectable',[1.531855],[3.402521]]]]
22;{'mode': 'direct', 'cost-complexity': 0, 'max-num-nodes': 7, 'max-depth': 3, 'file': 'train/dataDIVAT3_partition_2', 'test-file': 'test/dataDIVAT3_partition_2'};0.051;[lambda x: x['num_ageR'] > 64.5,[lambda x: x['fac_ante_diab'] == 'No',[lambda x: x['num_ageR'] > 56.0,[1.286635],[3.143257]],[lambda x: x['num_ageR'] > 48.0,[0.296689],[0.992762]]],[lambda x: x['num_year_tx'] > 2003.0,[lambda x: x['num_ageD'] > 66.0,[5.979346],[2.558827]],[lambda x: x['num_ageR'] > 70.0,[1.165801],[3.494473]]]]
23;{'mode': 'direct', 'cost-complexity': 0, 'max-num-nodes': 7, 'max-depth': 3, 'file': 'train/dataDIVAT3_partition_3', 'test-file': 'test/dataDIVAT3_partition_3'};0.037;[lambda x: x['num_year_tx'] > 2009.0,[lambda x: x['num_ageR'] > 39.0,[lambda x: x['num_year_tx'] > 2005.0,[0.436019],[0.050335]],[lambda x: x['num_ageR'] > 56.0,[0.755598],[1.977981]]],[lambda x: x['num_ageD'] > 66.0,[lambda x: x['num_ageD'] > 56.0,[0.157144],[0.73149]],[lambda x: x['num_ageR'] > 48.0,[3414.0],[3.963718]]]]
24;{'mode': 'direct', 'cost-complexity': 0, 'max-num-nodes': 7, 'max-depth': 3, 'file': 'train/dataDIVAT3_partition_4', 'test-file': 'test/dataDIVAT3_partition_4'};0.038;[lambda x: x['num_ageR'] > 52.0,[lambda x: x['num_ageD'] > 66.0,[lambda x: x['fac_ante_diab'] == 'No',[1.167547],[0.394768]],[lambda x: x['num_year_tx'] > 2009.0,[0.324342],[54.831543]]],[lambda x: x['fac_sexeR'] == 'F',[lambda x: x['num_ageR'] > 70.0,[1.659492],[3.560904]],[lambda x: x['num_ageR'] > 60.0,[0.530143],[2.266926]]]]
25;{'mode': 'direct', 'cost-complexity': 0, 'max-num-nodes': 7, 'max-depth': 3, 'file': 'train/Dialysis_partition_0', 'test-file': 'test/Dialysis_partition_0'};0.063;[lambda x: x['fac_center'] > 1071.0,[lambda x: x['fac_center'] > 743.0,[lambda x: x['num_age'] > 55.0,[1.026872],[2.11067]],[lambda x: x['num_age'] > 51.0,[0.23778],[0.858589]]],[lambda x: x['num_age'] > 51.0,[lambda x: x['fac_disease'] == 'diabetes',[0.530076],[1.106521]],[lambda x: x['num_age'] > 65.0,[1.174576],[2.107934]]]]
26;{'mode': 'direct', 'cost-complexity': 0, 'max-num-nodes': 7, 'max-depth': 3, 'file': 'train/Dialysis_partition_1', 'test-file': 'test/Dialysis_partition_1'};0.078;[lambda x: x['fac_center'] > 1071.0,[lambda x: x['fac_center'] > 743.0,[lambda x: x['num_age'] > 42.0,[0.834409],[1.824331]],[lambda x: x['num_age'] > 51.0,[0.234403],[0.892654]]],[lambda x: x['num_age'] > 55.0,[lambda x: x['num_age'] > 42.0,[0.44089],[0.800587]],[lambda x: x['num_age'] > 70.0,[1.398405],[2.437844]]]]
27;{'mode': 'direct', 'cost-complexity': 0, 'max-num-nodes': 7, 'max-depth': 3, 'file': 'train/Dialysis_partition_2', 'test-file': 'test/Dialysis_partition_2'};0.07;[lambda x: x['fac_center'] > 1071.0,[lambda x: x['fac_center'] > 743.0,[lambda x: x['num_age'] > 47.0,[0.877707],[1.878857]],[lambda x: x['num_age'] > 51.0,[0.24936],[0.930613]]],[lambda x: x['num_age'] > 55.0,[lambda x: x['fac_disease'] == 'diabetes',[0.557451],[1.22865]],[lambda x: x['num_age'] > 70.0,[1.384343],[2.308228]]]]
28;{'mode': 'direct', 'cost-complexity': 0, 'max-num-nodes': 7, 'max-depth': 3, 'file': 'train/Dialysis_partition_3', 'test-file': 'test/Dialysis_partition_3'};0.1;[lambda x: x['fac_center'] > 1071.0,[lambda x: x['fac_center'] > 743.0,[lambda x: x['num_age'] > 55.0,[1.026698],[2.09216]],[lambda x: x['num_age'] > 51.0,[0.207898],[0.905405]]],[lambda x: x['num_age'] > 51.0,[lambda x: x['fac_disease'] == 'diabetes',[0.48907],[1.014979]],[lambda x: x['num_age'] > 65.0,[1.250011],[2.064336]]]]
29;{'mode': 'direct', 'cost-complexity': 0, 'max-num-nodes': 7, 'max-depth': 3, 'file': 'train/Dialysis_partition_4', 'test-file': 'test/Dialysis_partition_4'};0.072;[lambda x: x['fac_center'] > 1071.0,[lambda x: x['fac_center'] > 743.0,[lambda x: x['num_age'] > 55.0,[0.993716],[2.069958]],[lambda x: x['num_age'] > 51.0,[0.226549],[0.899087]]],[lambda x: x['num_age'] > 51.0,[lambda x: x['fac_disease'] == 'diabetes',[0.500119],[1.184929]],[lambda x: x['num_age'] > 65.0,[1.182009],[2.116774]]]]
30;{'mode': 'direct', 'cost-complexity': 0, 'max-num-nodes': 7, 'max-depth': 3, 'file': 'train/divorce_partition_0', 'test-file': 'test/divorce_partition_0'};0.009;[lambda x: x['fac_mixed'] == 'No',[lambda x: x['fac_heduc'] == '16+',[lambda x: x['fac_heduc'] == '12-15',[1.026231],[1.429471]],[lambda x: x['fac_heblack'] == 'No',[2.73022],[0.813538]]],[lambda x: x['fac_heduc'] == '12-15',[lambda x: x['fac_heduc'] == '16+',[0.839149],[0.782407]],[lambda x: x['fac_heblack'] == 'No',[1.346871],[1.077675]]]]
31;{'mode': 'direct', 'cost-complexity': 0, 'max-num-nodes': 7, 'max-depth': 3, 'file': 'train/divorce_partition_1', 'test-file': 'test/divorce_partition_1'};0.019;[lambda x: x['fac_heblack'] == 'No',[lambda x: x['fac_heduc'] == '16+',[lambda x: x['fac_heduc'] == '<12',[1.555352],[1.022325]],[lambda x: x['fac_mixed'] == 'No',[2.872007],[0.51868]]],[lambda x: x['fac_heduc'] == '12-15',[lambda x: x['fac_heduc'] == '<12',[0.760958],[0.861034]],[lambda x: x['fac_mixed'] == 'No',[1.383106],[1.036538]]]]
32;{'mode': 'direct', 'cost-complexity': 0, 'max-num-nodes': 7, 'max-depth': 3, 'file': 'train/divorce_partition_2', 'test-file': 'test/divorce_partition_2'};0.012;[lambda x: x['fac_heblack'] == 'No',[lambda x: x['fac_mixed'] == 'No',[lambda x: x['fac_heduc'] == '<12',[1.597227],[1.210359]],[lambda x: x['fac_heduc'] == '12-15',[0.74329],[1.428691]]],[lambda x: x['fac_heduc'] == '12-15',[lambda x: x['fac_heduc'] == '<12',[0.805202],[0.910747]],[lambda x: x['fac_mixed'] == 'No',[1.29633],[1.035182]]]]
33;{'mode': 'direct', 'cost-complexity': 0, 'max-num-nodes': 7, 'max-depth': 3, 'file': 'train/divorce_partition_3', 'test-file': 'test/divorce_partition_3'};0.013;[lambda x: x['fac_heblack'] == 'No',[lambda x: x['fac_heduc'] == '<12',[lambda x: x['fac_mixed'] == 'No',[1.697926],[1.498199]],[lambda x: x['fac_mixed'] == 'No',[1.152276],[0.720201]]],[lambda x: x['fac_heduc'] == '12-15',[lambda x: x['fac_mixed'] == 'No',[0.983338],[0.830724]],[lambda x: x['fac_mixed'] == 'No',[1.481042],[1.02472]]]]
34;{'mode': 'direct', 'cost-complexity': 0, 'max-num-nodes': 7, 'max-depth': 3, 'file': 'train/divorce_partition_4', 'test-file': 'test/divorce_partition_4'};0.013;[lambda x: x['fac_mixed'] == 'No',[lambda x: x['fac_heduc'] == '16+',[lambda x: x['fac_heduc'] == '<12',[1.65034],[1.018147]],[lambda x: x['fac_heblack'] == 'No',[3.199392],[1.028494]]],[lambda x: x['fac_heblack'] == 'No',[lambda x: x['fac_heduc'] == '<12',[1.387061],[1.029252]],[lambda x: x['fac_heduc'] == '12-15',[0.817554],[0.998702]]]]
